月份,發生地點,死亡人數,存活人數,車種,經度,緯度
01月 ,Pingtung,1,1,普通重型-機車;腳踏自行車-慢車;自用-小客車,120.440212,22.648391
01月 ,Kaohsiung,1,1,行人-人;普通重型-機車,120.30152,22.62716
01月 ,Chiayi,1,0,普通重型-機車;自用-小客車,120.56306,23.373005
01月 ,Kaohsiung,1,1,普通重型-機車;乘客-人,120.5028,22.93095
01月 ,Tainan,1,0,普通重型-機車;自用-小客車,120.238215,23.120267
01月 ,Pingtung,1,0,普通重型-機車,120.503473,22.478369
01月 ,Taoyuan,1,2,普通重型-機車;自用-小貨車;乘客-人;乘客-人,121.204226,24.870953
01月 ,Yunlin,1,1,自用-小客車;自用-小客車;乘客-人,120.396674,23.704715
01月 ,Hualien,1,0,普通重型-機車;自用-小客車,121.59173,23.927031
01月 ,Nantou,1,2,自用-小客車;自用-小客車;自用-小客車;自用-小客車;乘客-人,120.680989,23.980695
01月 ,Changhua,1,1,普通重型-機車;自用-小貨車;乘客-人,120.5445,24.0775
01月 ,Taichung,1,0,普通重型-機車,120.769285,24.197675
01月 ,Taoyuan,1,1,行人-人;普通重型-機車;自用-小客車,121.218714,24.954447
01月 ,Chiayi,1,0,普通重型-機車;自用-小客車;自用-小客車,120.440306,23.465787
01月 ,Taichung,1,1,普通重型-機車;行人-人;普通重型-機車;普通重型-機車;普通重型-機車,120.616904,24.188609
01月 ,Chiayi,1,1,自用-小客車;行人-人;自用-小貨車,120.603066,23.438966
01月 ,Taichung,1,6,自用-小客車;自用-小客車;普通重型-機車;乘客-人;乘客-人;乘客-人;乘客-人;乘客-人,120.706375,24.246761
01月 ,Tainan,1,0,營業用-全聯結車;腳踏自行車-慢車,120.24516,23.034033
01月 ,Kaohsiung,1,1,普通重型-機車;普通重型-機車,120.428829,22.682463
01月 ,Changhua,1,0,行人-人;自用-小客車,120.487826,24.164344
01月 ,Taipei,1,0,自用-小客車;普通重型-機車,121.537907,25.025667
01月 ,Taoyuan,1,1,營業用-小貨車(含客、貨兩用);普通重型-機車;普通重型-機車;普通重型-機車;乘客-人,121.212125,24.951494
01月 ,Tainan,1,0,普通重型-機車;民營公車-大客車,120.332388,22.947098
01月 ,Hsinchu,1,0,自用-小客車;普通重型-機車,120.954434,24.877908
01月 ,Kaohsiung,1,1,普通重型-機車;普通重型-機車,120.316172,22.647867
01月 ,Taipei,1,0,行人-人;自用-小客車,121.494983,25.036183
01月 ,Kaohsiung,1,0,自用-小客車;行人-人,120.449403,22.771831
01月 ,Pingtung,1,0,自用-小貨車;大型重型-機車,120.606552,22.842287
01月 ,Chiayi,1,0,自用-小貨車;行人-人,120.703546,23.472128
01月 ,Taoyuan,1,0,自用-小貨車;行人-人,121.284624,24.934476
